state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Small,L2
Oregon,No,Extended,Bachelor,Employed,M,Rural,Married,Personal,Offer1,Call Center,SUV,Medsize,L2
California,No,Extended,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,L1
Oregon,No,Extended,College,Employed,M,Suburban,Single,Corporate,Offer1,Branch,SUV,Large,L3
Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer4,Web,SUV,Medsize,L3
California,Yes,Extended,Doctor,Employed,M,Rural,Divorced,Personal,Offer2,Branch,Four-Door Car,Medsize,L3
California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,L1
Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer3,Agent,SUV,Medsize,L3
California,No,Extended,Master,Employed,F,Urban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
California,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Medsize,L3
Oregon,Yes,Basic,Master,Employed,M,Rural,Single,Personal,Offer1,Agent,Sports Car,Medsize,L1
Arizona,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal,Offer1,Call Center,SUV,Medsize,L3
Washington,No,Basic,College,Employed,F,Rural,Divorced,Personal,Offer1,Branch,Two-Door Car,Medsize,L2
California,No,Extended,College,Employed,F,Urban,Married,Personal,Offer3,Branch,Four-Door Car,Large,L2
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Personal,Offer2,Agent,Two-Door Car,Medsize,L2
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer3,Web,SUV,Medsize,L3
California,Yes,Basic,College,Employed,M,Urban,Married,Corporate,Offer2,Web,Four-Door Car,Medsize,L3
Arizona,No,Extended,Bachelor,Employed,M,Rural,Married,Personal,Offer2,Web,Four-Door Car,Medsize,L3
Nevada,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Web,SUV,Medsize,L1
Nevada,No,Extended,High School or Below,Employed,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Washington,Yes,Basic,Bachelor,Unemployed,M,Suburban,Married,Special,Offer1,Agent,SUV,Large,L3
Oregon,Yes,Basic,Master,Employed,M,Suburban,Married,Personal,Offer3,Web,Two-Door Car,Small,L3
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Agent,Luxury SUV,Small,L2
Arizona,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer1,Call Center,Sports Car,Medsize,L3
Washington,No,Basic,Doctor,Employed,F,Rural,Married,Personal,Offer3,Call Center,Four-Door Car,Medsize,L2
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L2
Oregon,No,Extended,College,Unemployed,M,Suburban,Married,Personal,Offer2,Web,Four-Door Car,Medsize,L3
California,No,Basic,College,Disabled,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,L3
Arizona,No,Basic,Master,Employed,M,Suburban,Single,Personal,Offer3,Agent,Sports Car,Medsize,L1
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Large,L3
Oregon,No,Basic,College,Employed,F,Urban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,L3
Arizona,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,L1
Arizona,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
Arizona,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,L3
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,L2
Washington,No,Basic,Doctor,Employed,F,Rural,Married,Corporate,Offer4,Branch,Four-Door Car,Medsize,L3
Nevada,No,Extended,College,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Sports Car,Medsize,L3
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Large,L1
California,No,Extended,High School or Below,Employed,M,Rural,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,L3
Arizona,No,Extended,Bachelor,Medical Leave,M,Suburban,Married,Personal,Offer2,Web,Luxury SUV,Medsize,L2
California,No,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Branch,SUV,Small,L3
California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer3,Web,SUV,Medsize,L3
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,Offer1,Agent,SUV,Medsize,L2
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Large,L2
Arizona,Yes,Basic,Bachelor,Employed,M,Rural,Married,Special,Offer3,Agent,Four-Door Car,Medsize,L3
Oregon,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Corporate,Offer2,Web,Four-Door Car,Medsize,L3
California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Medsize,L3
Washington,No,Basic,College,Employed,F,Rural,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,L3
Nevada,No,Premium,Master,Employed,F,Rural,Married,Corporate,Offer3,Branch,Two-Door Car,Large,L3
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer3,Branch,Four-Door Car,Small,L3
Arizona,No,Basic,High School or Below,Medical Leave,F,Urban,Single,Special,Offer3,Branch,Four-Door Car,Medsize,L2
California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Branch,Luxury SUV,Small,L3
Oregon,No,Extended,Doctor,Employed,M,Rural,Married,Personal,Offer1,Branch,Sports Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Agent,SUV,Medsize,L2
Arizona,No,Extended,High School or Below,Medical Leave,M,Suburban,Divorced,Personal,Offer1,Agent,Two-Door Car,Medsize,L1
California,No,Extended,College,Medical Leave,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Large,L2
Arizona,No,Basic,College,Employed,F,Suburban,Divorced,Corporate,Offer4,Branch,Four-Door Car,Medsize,L3
California,No,Extended,College,Employed,F,Urban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,L1
Arizona,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal,Offer3,Agent,Four-Door Car,Small,L2
Nevada,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,Offer3,Web,Four-Door Car,Medsize,L3
Oregon,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal,Offer1,Branch,SUV,Medsize,L3
Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate,Offer3,Agent,Four-Door Car,Medsize,L2
Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
California,No,Basic,College,Employed,F,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Washington,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L2
Washington,No,Extended,Master,Medical Leave,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Small,L2
Oregon,No,Basic,College,Employed,F,Rural,Married,Special,Offer3,Call Center,Four-Door Car,Medsize,L2
Arizona,Yes,Premium,High School or Below,Employed,F,Rural,Married,Special,Offer2,Web,Four-Door Car,Medsize,L1
Washington,No,Extended,Master,Employed,M,Rural,Single,Personal,Offer4,Branch,Two-Door Car,Medsize,L3
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,L2
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Branch,SUV,Medsize,L3
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer3,Call Center,Four-Door Car,Small,L2
Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,L1
Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal,Offer2,Call Center,Four-Door Car,Medsize,L3
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,L2
California,No,Basic,College,Employed,F,Suburban,Married,Corporate,Offer3,Web,SUV,Medsize,L3
Oregon,No,Premium,College,Employed,F,Suburban,Divorced,Personal,Offer2,Agent,Luxury Car,Large,L3
Nevada,No,Basic,College,Medical Leave,M,Suburban,Married,Special,Offer3,Call Center,SUV,Small,L2
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Web,SUV,Small,L3
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer3,Call Center,Four-Door Car,Medsize,L3
California,No,Basic,Bachelor,Unemployed,F,Urban,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,L2
Nevada,Yes,Basic,Master,Employed,F,Rural,Single,Personal,Offer2,Web,Four-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Special,Offer4,Web,Four-Door Car,Medsize,L3
Washington,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer4,Branch,Two-Door Car,Medsize,L2
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer1,Branch,Four-Door Car,Medsize,L2
California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer3,Call Center,Four-Door Car,Medsize,L3
Arizona,No,Extended,Bachelor,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L2
California,No,Basic,Master,Unemployed,M,Urban,Married,Personal,Offer1,Branch,Two-Door Car,Medsize,L2
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Corporate,Offer3,Branch,Four-Door Car,Small,L1
California,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal,Offer4,Web,Four-Door Car,Medsize,L3
Arizona,No,Basic,College,Employed,M,Urban,Married,Corporate,Offer3,Branch,Two-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Large,L3
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Medsize,L3
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Call Center,SUV,Medsize,L2
Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Special,Offer1,Call Center,Luxury Car,Medsize,L2
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,L1
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L1
Arizona,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Arizona,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer1,Web,Two-Door Car,Medsize,L2
Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Medsize,L2
Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,L3
Arizona,No,Extended,Doctor,Employed,F,Rural,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,L3
California,No,Basic,College,Employed,F,Suburban,Married,Corporate,Offer4,Agent,Four-Door Car,Medsize,L1
Oregon,No,Extended,College,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,SUV,Small,L3
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Small,L3
Arizona,No,Extended,College,Employed,F,Rural,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Nevada,No,Basic,Doctor,Unemployed,F,Suburban,Married,Personal,Offer4,Agent,Four-Door Car,Small,L3
Washington,Yes,Basic,Master,Employed,M,Rural,Single,Corporate,Offer1,Agent,Sports Car,Medsize,L3
Arizona,No,Basic,Bachelor,Medical Leave,M,Urban,Single,Personal,Offer1,Agent,Two-Door Car,Medsize,L1
California,No,Basic,College,Employed,M,Urban,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,L3
California,No,Extended,High School or Below,Employed,M,Rural,Married,Corporate,Offer3,Branch,SUV,Medsize,L2
Oregon,Yes,Basic,High School or Below,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Large,L1
Oregon,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,Offer2,Call Center,Two-Door Car,Medsize,L3
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer2,Branch,Four-Door Car,Small,L3
California,No,Basic,High School or Below,Employed,M,Rural,Married,Corporate,Offer4,Call Center,Two-Door Car,Large,L2
California,No,Basic,Master,Employed,F,Rural,Divorced,Personal,Offer1,Web,Two-Door Car,Medsize,L3
Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Large,L2
California,No,Extended,Bachelor,Employed,M,Rural,Divorced,Corporate,Offer4,Branch,Two-Door Car,Medsize,L2
Washington,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer3,Web,Four-Door Car,Small,L3
Oregon,No,Premium,College,Employed,F,Suburban,Single,Personal,Offer3,Agent,SUV,Medsize,L2
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Nevada,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer4,Agent,Two-Door Car,Medsize,L3
Nevada,No,Basic,College,Employed,F,Rural,Married,Corporate,Offer4,Call Center,Four-Door Car,Medsize,L3
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate,Offer2,Branch,Two-Door Car,Medsize,L2
Oregon,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal,Offer1,Agent,SUV,Small,L2
Arizona,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Offer2,Agent,SUV,Small,L1
Oregon,Yes,Premium,High School or Below,Unemployed,M,Suburban,Married,Special,Offer2,Web,SUV,Medsize,L1
California,No,Premium,Bachelor,Employed,M,Rural,Married,Corporate,Offer2,Branch,SUV,Small,L1
California,No,Extended,High School or Below,Medical Leave,F,Urban,Married,Corporate,Offer1,Web,Four-Door Car,Medsize,L2
Oregon,No,Extended,Doctor,Unemployed,M,Suburban,Married,Corporate,Offer1,Branch,SUV,Medsize,L3
Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Sports Car,Medsize,L3
California,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,Offer2,Web,Four-Door Car,Medsize,L3
California,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,L2
California,Yes,Basic,Bachelor,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Oregon,Yes,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,L3
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer2,Call Center,SUV,Medsize,L1
Oregon,No,Extended,College,Medical Leave,F,Rural,Married,Special,Offer3,Web,Four-Door Car,Medsize,L1
Washington,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Medsize,L3
Nevada,No,Basic,College,Employed,F,Urban,Married,Corporate,Offer2,Call Center,SUV,Small,L3
Arizona,No,Basic,Master,Medical Leave,F,Urban,Married,Personal,Offer4,Call Center,Four-Door Car,Large,L3
Oregon,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
Arizona,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer1,Call Center,Sports Car,Small,L2
Arizona,No,Basic,Doctor,Employed,M,Suburban,Married,Personal,Offer3,Call Center,Two-Door Car,Small,L2
California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Web,SUV,Small,L2
Oregon,Yes,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,L2
Oregon,Yes,Basic,Master,Employed,F,Suburban,Single,Personal,Offer2,Branch,SUV,Large,L2
Arizona,No,Basic,College,Employed,F,Rural,Single,Corporate,Offer1,Call Center,Two-Door Car,Medsize,L1
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Medsize,L1
California,No,Basic,Doctor,Employed,M,Suburban,Single,Corporate,Offer2,Agent,SUV,Medsize,L3
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
California,No,Premium,High School or Below,Employed,F,Rural,Divorced,Personal,Offer3,Branch,Four-Door Car,Medsize,L2
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer4,Call Center,SUV,Medsize,L1
Nevada,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,L3
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,L2
California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Small,L3
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Offer2,Call Center,Four-Door Car,Medsize,L1
Arizona,No,Basic,College,Employed,M,Suburban,Single,Personal,Offer4,Call Center,Four-Door Car,Medsize,L2
Nevada,No,Premium,College,Employed,F,Suburban,Single,Special,Offer1,Branch,Sports Car,Medsize,L1
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate,Offer3,Branch,SUV,Small,L2
California,Yes,Extended,College,Employed,F,Rural,Married,Corporate,Offer2,Call Center,Two-Door Car,Small,L2
Oregon,No,Premium,Doctor,Employed,F,Rural,Married,Personal,Offer4,Agent,Luxury SUV,Medsize,L3
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer3,Call Center,Four-Door Car,Large,L1
California,No,Extended,Bachelor,Disabled,F,Suburban,Single,Special,Offer1,Agent,Four-Door Car,Medsize,L3
Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L1
Oregon,Yes,Extended,College,Employed,F,Rural,Married,Personal,Offer2,Call Center,Two-Door Car,Large,L1
California,No,Basic,Bachelor,Retired,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,L1
California,No,Basic,College,Employed,M,Rural,Married,Personal,Offer2,Branch,Two-Door Car,Small,L3
California,No,Extended,High School or Below,Employed,M,Suburban,Single,Corporate,Offer2,Agent,Two-Door Car,Small,L3
California,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,L3
Oregon,No,Premium,College,Disabled,M,Suburban,Married,Corporate,Offer1,Branch,Two-Door Car,Small,L2
California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Small,L2
California,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer3,Web,Two-Door Car,Medsize,L2
California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate,Offer4,Web,Four-Door Car,Small,L3
Arizona,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,L2
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate,Offer2,Agent,Four-Door Car,Medsize,L3
Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Special,Offer3,Agent,Four-Door Car,Large,L2
Oregon,No,Basic,College,Employed,F,Suburban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,L1
Washington,No,Basic,High School or Below,Medical Leave,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,L1
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer4,Agent,Four-Door Car,Medsize,L3
Oregon,No,Extended,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
California,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Oregon,No,Extended,College,Disabled,F,Suburban,Married,Corporate,Offer3,Branch,SUV,Medsize,L3
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,Two-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Call Center,SUV,Medsize,L1
Washington,No,Extended,College,Medical Leave,M,Suburban,Married,Corporate,Offer2,Agent,Two-Door Car,Small,L3
California,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal,Offer1,Agent,SUV,Medsize,L3
Nevada,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L2
California,No,Extended,Bachelor,Unemployed,F,Urban,Divorced,Personal,Offer1,Web,Four-Door Car,Medsize,L1
California,No,Extended,High School or Below,Employed,F,Suburban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,L1
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,L1
Washington,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer3,Call Center,Sports Car,Small,L3
Arizona,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,L3
Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,L2
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer2,Call Center,SUV,Medsize,L3
Oregon,No,Premium,College,Unemployed,F,Suburban,Single,Personal,Offer1,Call Center,SUV,Medsize,L3
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,L3
Arizona,No,Basic,College,Unemployed,F,Rural,Married,Personal,Offer2,Call Center,Four-Door Car,Medsize,L3
California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer4,Call Center,Two-Door Car,Large,L3
Arizona,No,Basic,High School or Below,Employed,M,Rural,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Web,SUV,Small,L2
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Corporate,Offer4,Call Center,SUV,Large,L2
Nevada,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,L1
Washington,No,Basic,College,Employed,F,Rural,Married,Corporate,Offer3,Branch,SUV,Medsize,L3
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,L2
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Single,Corporate,Offer2,Web,Four-Door Car,Medsize,L3
California,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Medsize,L1
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer4,Call Center,Luxury SUV,Medsize,L1
Oregon,No,Basic,College,Employed,M,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,L2
Oregon,No,Premium,College,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L1
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
Arizona,No,Premium,High School or Below,Disabled,F,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,L1
California,No,Basic,College,Employed,M,Urban,Single,Personal,Offer3,Agent,Four-Door Car,Small,L2
Washington,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal,Offer4,Agent,Two-Door Car,Medsize,L3
California,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,Offer1,Branch,Four-Door Car,Small,L1
Oregon,No,Extended,Master,Employed,M,Urban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,L3
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer1,Agent,SUV,Small,L3
Arizona,No,Extended,Bachelor,Disabled,F,Suburban,Single,Personal,Offer3,Web,Four-Door Car,Medsize,L2
California,Yes,Basic,Master,Employed,F,Suburban,Divorced,Special,Offer2,Branch,SUV,Medsize,L1
California,No,Premium,College,Employed,F,Suburban,Married,Personal,Offer2,Agent,Two-Door Car,Medsize,L2
Oregon,Yes,Extended,College,Employed,F,Suburban,Married,Personal,Offer1,Branch,Luxury Car,Small,L2
Arizona,Yes,Extended,College,Employed,F,Suburban,Married,Corporate,Offer2,Agent,Two-Door Car,Small,L2
Arizona,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Web,Two-Door Car,Medsize,L3
California,No,Premium,Master,Employed,F,Urban,Married,Personal,Offer4,Call Center,Sports Car,Medsize,L3
Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Corporate,Offer2,Branch,Four-Door Car,Small,L1
Oregon,No,Basic,Doctor,Employed,F,Rural,Single,Corporate,Offer1,Branch,Two-Door Car,Medsize,L2
Nevada,No,Basic,College,Employed,M,Rural,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L3
California,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal,Offer2,Branch,Luxury SUV,Medsize,L2
Oregon,No,Basic,College,Employed,F,Urban,Married,Personal,Offer2,Call Center,Four-Door Car,Medsize,L1
Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Medsize,L3
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,L2
California,Yes,Basic,College,Medical Leave,M,Suburban,Married,Corporate,Offer1,Branch,Four-Door Car,Medsize,L2
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Special,Offer2,Call Center,Four-Door Car,Medsize,L2
Washington,No,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer2,Agent,SUV,Medsize,L3
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal,Offer2,Call Center,Four-Door Car,Small,L3
Washington,No,Premium,Bachelor,Employed,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Small,L3
Nevada,Yes,Basic,Master,Employed,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Small,L3
Washington,No,Extended,Bachelor,Employed,M,Rural,Married,Personal,Offer4,Agent,Two-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Special,Offer3,Branch,SUV,Medsize,L2
California,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,L2
Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal,Offer2,Web,Two-Door Car,Medsize,L3
